event_id,english_name,chinese_name,date_range,source_section
FedRateHike_2017.03.15-2018.12.19,2015 Interest Rate Hike Cycle: Gradual Rate Hike Phase,2015加息周期：渐进式加息阶段,2017.3.15-2018.12.19,1.2.5 The Fed's Interest Rate Hiking Cycle P1: 2015.12.16-2018.12.19 & P2:2022.3.17-2023.7.27 (调整）
FedRateHike_2022.03.17-2022.05.05,2022 Interest Rate Hike Cycle: Initiation stage,2022加息周期：启动阶段,2022.03.17 – 2022.05.05,1.2.5 The Fed's Interest Rate Hiking Cycle P1: 2015.12.16-2018.12.19 & P2:2022.3.17-2023.7.27 (调整）
FedRateHike_2022.06.16-2022.12.15,2022 Interest Rate Hike Cycle: Aggressive Rate Hike Phase,2022加息周期： 激进加息阶段,2022.06.16 – 2022.12.15,1.2.5 The Fed's Interest Rate Hiking Cycle P1: 2015.12.16-2018.12.19 & P2:2022.3.17-2023.7.27 (调整）
FedRateHike_2023.02.02-2023.07.27,2022 Interest Rate Hike Cycle: Deceleration of Rate Hikes Phase,2022加息周期： 减速阶段,2023.02.02 – 2023.07.27,1.2.5 The Fed's Interest Rate Hiking Cycle P1: 2015.12.16-2018.12.19 & P2:2022.3.17-2023.7.27 (调整）
TradeWar_2018.03.08-2018.04.04,Initial Tariff Implementation Phase,初始关税实施阶段,2018.3.8-2018.4.4,1.2.6 The China - US Trade War 2018.3.8-2019.5.5
TradeWar_2018.04.05-2018.12.01,Tariff Escalation and Negotiation Phase,关税升级与谈判阶段,2018.4.5-2018.12.1,1.2.6 The China - US Trade War 2018.3.8-2019.5.5
TradeWar_2018.12.02-2019.05.05,Negotiation and Temporary Easing Phase,谈判与暂时缓和阶段,2018.12.2-2019.5.5,1.2.6 The China - US Trade War 2018.3.8-2019.5.5
COVID19_2019.12.01-2020.03.12,Initial Outbreak Stage,疫情爆发初期,2019.12.01-2020.03.12,1.2.7 The COVID - 19 Pandemic 2019.12.01-2023.05.11 （请以表格为准）
COVID19_2020.03.03-2020.06.30,The Fed's Large - scale Easing and Stimulus Policies-Comprehensive Easing Stage,美联储的大规模宽松和刺激政策——全面宽松阶段,2020.03.03-2020.06.30,1.2.7 The COVID - 19 Pandemic 2019.12.01-2023.05.11 （请以表格为准）
COVID19_2020.06.01-2020.12.10,Pandemic Peak and Ongoing Response Phase,疫情高峰期及持续应对阶段,2020.06.01-2020.12.10,1.2.7 The COVID - 19 Pandemic 2019.12.01-2023.05.11 （请以表格为准）
COVID19_2020.07.01-2021.08.31,Sustained Easing Stage,持续宽松阶段,2020.07.01-2021.08.31,1.2.7 The COVID - 19 Pandemic 2019.12.01-2023.05.11 （请以表格为准）
COVID19_2020.12.11-2021.12.31,Vaccination Rollout and Variant Strains Phase,疫苗接种推广和变异毒株阶段,2020.12.11-2021.12.31,1.2.7 The COVID - 19 Pandemic 2019.12.01-2023.05.11 （请以表格为准）
COVID19_2022.01.01-2023.05.11,Pandemic Easing and Long-term Management Phase,**疫情缓解与长期管理阶段,2022.01.01-2023.05.11,1.2.7 The COVID - 19 Pandemic 2019.12.01-2023.05.11 （请以表格为准）
Inflation_2022.01.01-2022.06.31,Continuous Inflation Rise Phase,持续通胀上行阶段,2022.1.1-2022.6.31,1.2.10 The Inflation Fears 2022.1.1-2022.12.31
Inflation_2022.07.01-2022.07.31,Inflation Peak Phase,通胀峰值阶段,2022.7.1-2022.7.31,1.2.10 The Inflation Fears 2022.1.1-2022.12.31
Inflation_2022.08.01-2022.12.31,Gradual Inflation Decline Phase,通胀逐步回落阶段,2022.8.1-2022.12.31,1.2.10 The Inflation Fears 2022.1.1-2022.12.31
AI_2023.03.14-2023.12.06,Technology Breakthroughs and Regulatory Battles,技术突破与监管博弈,2023.3.14-2023.12.06,1.2.11 The AI Boom 2023.1.1-2024.12.31
AI_2024.02.01-2024.12.31,Application Rollout and Capital Explosion,应用程序推出和资本集中爆发,2024.2.01-2024.12.31,1.2.11 The AI Boom 2023.1.1-2024.12.31
ComBubble_2000.03.10-2002.10.09,Bubble Burst,互联网泡沫破裂,2000.3.10-2002.10.9,1.2.12 The Dot-com Bubble 2000.03.10-2004.12.31
ComBubble_2003.01.15-2004.12.31,Industry Recovery and New Landscape Formation,行业复苏与新态势的形成,2003.01.15-2004.12.31,1.2.12 The Dot-com Bubble 2000.03.10-2004.12.31
FedRateCut_2001.01.03-2003.06.25,2001 Interest Rate Cut Cycle,2001降息周期,2001.1.3-2003.6.25,1.2.13 The Fed's Interest Rate Cut Cycle （调整）
FedRateCut_2007.09.18-2008.12.16,2007 Interest Rate Cut Cycle,2007降息周期,2007.9.18-2008.12.16,1.2.13 The Fed's Interest Rate Cut Cycle （调整）
FedRateCut_2019.07.31-2020.03.15,2019 Interest Rate Cut Cycle,2019降息周期,2019.7.31-2020.3.15,1.2.13 The Fed's Interest Rate Cut Cycle （调整）
